K,分组,资源配置向量,资源缺口向量,资源冗余向量,工作量CV向量,最大CV,地理SSE（m²）,缺口Pareto,最终选中,地理baseline
2,S001;S002;S004;S005;S009;S011;S012;S013 | S003;S006;S007;S008;S010;S014;S015,"[5, 4, 3, 6, 5, 5, 3, 4]","[1, 2, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.19525065963060687, 0.06550579649304303, 0.2013715038813533, 0.09734062783403366]",0.2013715038813533,233610316.72918966,False,False,False
2,S001;S002;S004;S005;S009;S012;S013 | S003;S006;S007;S008;S010;S011;S014;S015,"[5, 4, 3, 6, 6, 5, 3, 4]","[1, 2, 1, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.12928759894459102, 0.008379852897203529, 0.2013715038813533, 0.06827491407372295]",0.2013715038813533,218099705.3721695,False,False,False
3,S001;S002;S003;S004;S005;S006;S007;S008;S009;S012;S013;S015 | S010;S014 | S011,"[4, 5, 2, 6, 6, 4, 3, 4]","[0, 3, 0, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.2049976225138626, 1.1820153948712686, 1.2445356342621086, 1.256001911596232]",1.256001911596232,209251584.23468474,True,False,False
3,S001;S002;S003;S004;S005;S006;S007;S009;S010;S012;S013;S014;S015 | S008 | S011,"[4, 3, 3, 6, 5, 5, 3, 4]","[0, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.218741763514968, 1.2423122936651014, 1.1975645372028711, 1.1999316400653766]",1.2423122936651014,261118464.9525949,False,False,False
3,S001;S002;S003;S004;S005;S006;S007;S009;S012;S013;S015 | S008;S010;S014 | S011,"[4, 5, 3, 6, 6, 5, 3, 4]","[0, 3, 1, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.0842994994215418, 1.0763899879533618, 1.0424157299012815, 1.0804658040185935]",1.0842994994215418,262012318.37173793,False,False,False
3,S001;S002;S003;S004;S005;S006;S007;S009;S011;S012;S013;S015 | S008 | S010;S014,"[4, 4, 3, 6, 5, 5, 4, 4]","[0, 2, 1, 0, 1, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.1483772928693814, 1.1297133448489585, 1.017266022154416, 1.0992352322831687]",1.1483772928693814,196879399.24925083,False,False,False
3,S001;S002;S003;S004;S005;S006;S007;S009;S012;S013;S015 | S008;S011 | S010;S014,"[4, 5, 3, 6, 6, 5, 4, 4]","[0, 3, 1, 0, 2, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.078868558228075, 1.06855978867944, 1.017266022154416, 1.069128863004445]",1.078868558228075,207897932.15848443,False,False,False
3,S001;S002;S003;S004;S005;S006;S007;S009;S012;S013;S015 | S008 | S010;S011;S014,"[4, 4, 3, 6, 6, 5, 4, 4]","[0, 2, 1, 0, 2, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.0794733454539973, 1.0708912715084293, 1.017266022154416, 1.0680097458775428]",1.0794733454539973,221637484.2773567,False,False,False
3,S001;S002;S003;S004;S005;S007;S008;S009;S010;S012;S013;S014;S015 | S006 | S011,"[4, 3, 3, 6, 5, 4, 2, 4]","[0, 1, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.1804122424004073, 1.2738427778575485, 1.4142135623730951, 1.3090005844252992]",1.4142135623730951,252539553.19771174,True,False,False
3,S001;S002;S003;S004;S005;S007;S008;S009;S012;S013;S015 | S006;S010;S014 | S011,"[4, 5, 3, 6, 6, 4, 3, 4]","[0, 3, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.0480299430737725, 1.10599802889954, 1.2445356342621086, 1.1842957517964974]",1.2445356342621086,222241586.6344552,False,False,False
3,S001;S002;S003;S004;S005;S007;S008;S009;S011;S012;S013;S015 | S006 | S010;S014,"[4, 4, 3, 6, 5, 4, 3, 4]","[0, 2, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.1092641380511, 1.1622391342624567, 1.2445356342621086, 1.2113334948647092]",1.2445356342621086,183155200.8491946,False,False,False
3,S001;S002;S003;S004;S005;S007;S008;S009;S012;S013;S015 | S006;S011 | S010;S014,"[4, 5, 3, 6, 6, 4, 3, 4]","[0, 3, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.0406554558313128, 1.1005563501125901, 1.2445356342621086, 1.1801789902748367]",1.2445356342621086,183068314.5470619,False,False,False
3,S001;S002;S003;S004;S005;S007;S008;S009;S012;S013;S015 | S006 | S010;S011;S014,"[4, 4, 3, 6, 6, 4, 3, 4]","[0, 2, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.0395259352459378, 1.1039855189851224, 1.2445356342621086, 1.1811194473558337]",1.2445356342621086,205149052.27554747,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S010;S012;S013;S014;S015 | S006;S008 | S011,"[4, 3, 3, 6, 5, 5, 3, 4]","[0, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.0609042293815372, 1.1645890300296546, 1.1975645372028711, 1.1297924337578313]",1.1975645372028711,262654548.47371995,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006;S008;S010;S014 | S011,"[4, 5, 3, 6, 6, 5, 3, 4]","[0, 3, 1, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9367516413333973, 1.0042192155686978, 1.0424157299012815, 1.014694305817144]",1.0424157299012815,264612394.27468082,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S011;S012;S013;S015 | S006;S008 | S010;S014,"[4, 4, 3, 6, 5, 5, 4, 4]","[0, 2, 1, 0, 1, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9870965952680646, 1.049374754584991, 1.017266022154416, 1.0269601146471992]",1.049374754584991,200982585.19088128,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006;S008;S011 | S010;S014,"[4, 5, 3, 6, 6, 5, 4, 4]","[0, 3, 1, 0, 2, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9221456583427564, 0.9897744634901933, 1.017266022154416, 0.9977478276980967]",1.017266022154416,198381336.3241282,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006;S008 | S010;S011;S014,"[4, 4, 3, 6, 6, 5, 4, 4]","[0, 2, 1, 0, 2, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9144697747794504, 0.98903610434883, 1.017266022154416, 0.9950082456265065]",1.017266022154416,223760852.7976721,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S010;S011;S012;S013;S014;S015 | S006 | S008,"[4, 2, 4, 6, 4, 5, 3, 4]","[0, 0, 2, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.1233894626017884, 1.222863689758057, 1.1975645372028711, 1.1545656995755118]",1.222863689758057,235890837.259285,True,True,False
3,S001;S002;S003;S004;S005;S007;S009;S010;S012;S013;S014;S015 | S006;S011 | S008,"[4, 3, 4, 6, 5, 5, 3, 4]","[0, 1, 2, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.055080753713877, 1.1622529780045305, 1.1975645372028711, 1.1229012763199793]",1.1975645372028711,236075841.0193184,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S010;S012;S013;S014;S015 | S006 | S008;S011,"[4, 3, 4, 6, 5, 5, 3, 4]","[0, 1, 2, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[1.0533472606611682, 1.1633587743365386, 1.1975645372028711, 1.124953192189266]",1.1975645372028711,244417026.6289317,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S011;S012;S013;S015 | S006;S010;S014 | S008,"[4, 4, 4, 6, 5, 5, 4, 4]","[0, 2, 2, 0, 1, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9886557971080494, 1.0525013594916728, 1.017266022154416, 1.0241373876086546]",1.0525013594916728,213577149.82387304,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006;S010;S011;S014 | S008,"[4, 4, 4, 6, 6, 5, 4, 4]","[0, 2, 2, 0, 2, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9245207134393816, 0.9955969657241329, 1.017266022154416, 0.9936394370586333]",1.017266022154416,221041914.9766941,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006;S010;S014 | S008;S011,"[4, 5, 4, 6, 6, 5, 4, 4]","[0, 3, 2, 0, 2, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9154399096271725, 0.9898363796439938, 1.017266022154416, 0.9932992645251449]",1.017266022154416,222615865.31179157,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S011;S012;S013;S015 | S006 | S008;S010;S014,"[4, 4, 4, 6, 5, 5, 3, 4]","[0, 2, 2, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9849519757456402, 1.0559918506808188, 1.0424157299012815, 1.0334919671971003]",1.0559918506808188,236859449.55934653,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006;S011 | S008;S010;S014,"[4, 5, 4, 6, 6, 5, 3, 4]","[0, 3, 2, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.913441450134134, 0.9922520256939745, 1.0424157299012815, 1.0006394346683851]",1.0424157299012815,237556979.43765175,False,False,False
3,S001;S002;S003;S004;S005;S007;S009;S012;S013;S015 | S006 | S008;S010;S011;S014,"[4, 4, 4, 6, 6, 5, 3, 4]","[0, 2, 2, 0, 2, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9185715615200017, 1.0005721603547615, 1.0424157299012815, 1.0055744610405692]",1.0424157299012815,242674232.5831059,False,False,False
3,S001;S002;S004;S005;S006;S008;S009;S010;S012;S013;S014 | S003;S007;S015 | S011,"[5, 5, 3, 6, 8, 4, 3, 4]","[1, 3, 1, 0, 4, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.9438813831709048, 0.7972979519963074, 0.7382601231612673, 0.8728887838312273]",0.9438813831709048,178280345.82037017,False,False,False
3,S001;S002;S004;S005;S006;S008;S009;S012;S013 | S003;S007;S010;S014;S015 | S011,"[5, 5, 3, 6, 6, 4, 3, 4]","[1, 3, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8318525189891275, 0.6992341027676975, 0.7072018607730274, 0.7874201121654468]",0.8318525189891275,249164215.2397437,False,False,False
3,S001;S002;S004;S005;S006;S008;S009;S011;S012;S013 | S003;S007;S015 | S010;S014,"[5, 6, 3, 6, 7, 4, 4, 4]","[1, 4, 1, 0, 3, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8671932561571736, 0.6678358488064228, 0.544991479877948, 0.7616041485931937]",0.8671932561571736,133514092.45101997,False,False,False
3,S001;S002;S004;S005;S006;S008;S009;S012;S013 | S003;S007;S011;S015 | S010;S014,"[5, 6, 3, 6, 7, 4, 4, 4]","[1, 4, 1, 0, 3, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8078102607979485, 0.6282711644939989, 0.544991479877948, 0.738942967992063]",0.8078102607979485,134770905.01033688,False,False,False
3,S001;S002;S004;S005;S006;S008;S009;S012;S013 | S003;S007;S015 | S010;S011;S014,"[5, 6, 3, 6, 8, 4, 4, 4]","[1, 4, 1, 0, 4, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.7913214250085381, 0.5984452123457293, 0.544991479877948, 0.7266404207296412]",0.7913214250085381,152089475.75763118,False,False,False
3,S001;S002;S004;S005;S006;S009;S010;S012;S013;S014 | S003;S007;S008;S015 | S011,"[5, 5, 3, 6, 8, 4, 4, 4]","[1, 3, 1, 0, 4, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.8423314970133947, 0.7293769504554355, 0.7086031845828167, 0.7552133847638535]",0.8423314970133947,166662860.23624858,False,False,False
3,S001;S002;S004;S005;S006;S009;S012;S013 | S003;S007;S008;S010;S014;S015 | S011,"[5, 5, 3, 6, 6, 4, 3, 4]","[1, 3, 1, 0, 2, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.7467135011257576, 0.6609594911140001, 0.7488829840924127, 0.701813760063592]",0.7488829840924127,254697523.4045287,False,False,False
3,S001;S002;S004;S005;S006;S009;S011;S012;S013 | S003;S007;S008;S015 | S010;S014,"[5, 6, 3, 6, 7, 4, 4, 4]","[1, 4, 1, 0, 3, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.7631398740737958, 0.5992552183608822, 0.5530882126805162, 0.6425131396997645]",0.7631398740737958,132939481.16496964,False,False,False
3,S001;S002;S004;S005;S006;S009;S012;S013 | S003;S007;S008;S011;S015 | S010;S014,"[5, 6, 3, 6, 7, 4, 4, 4]","[1, 4, 1, 0, 3, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.7116261787994445, 0.570848833204893, 0.5530882126805162, 0.6278367644320483]",0.7116261787994445,133308345.86149667,False,False,False
3,S001;S002;S004;S005;S006;S009;S012;S013 | S003;S007;S008;S015 | S010;S011;S014,"[5, 6, 3, 6, 8, 4, 4, 4]","[1, 4, 1, 0, 4, 0, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2]","[0.6843215326636388, 0.5293954922255883, 0.5530882126805162, 0.6070161243477679]",0.6843215326636388,151225823.08383605,False,False,False
