trip_id,drone_id,time_seconds,phase,lon,lat,alt_m,distance_3d_km,terrain_obstructed,fspl_db,obstruction_loss_db,path_loss_db,bidirectional_loss_limit_db,margin_db,available
Q2-010,U08,3105.817428141641,climb,109.1997836,23.007714,327.2999999999999,3.1912660112270492,True,110.13348496945271,10.0,120.13348496945271,122.0,1.8665150305472906,True
Q2-010,U08,3110.817428141641,climb,109.1997836,23.007714,339.7999999999998,3.1919938916628583,True,110.13546586612892,10.0,120.13546586612892,122.0,1.864534133871075,True
Q2-010,U08,3115.817428141641,climb,109.1997836,23.007714,352.29999999999967,3.1927705452182122,True,110.1375789987805,10.0,120.1375789987805,122.0,1.8624210012195022,True
Q2-010,U08,3120.817428141641,climb,109.1997836,23.007714,364.79999999999956,3.1935959363095705,True,110.13982417402637,10.0,120.13982417402637,122.0,1.8601758259736272,True
Q2-010,U08,3122.26362687211,cruise,109.1997836,23.007714,368.4154968261719,3.1938437539980296,True,110.1404981583449,10.0,120.1404981583449,122.0,1.8595018416551028,True
Q2-010,U08,3127.26362687211,cruise,109.20051491049986,23.007732725235936,368.4154968261719,3.119027150028878,True,109.93460793730321,10.0,119.93460793730321,122.0,2.0653920626967874,True
Q2-010,U08,3132.26362687211,cruise,109.20124622099972,23.007751450471876,368.4154968261719,3.0442195925109066,True,109.72374436897567,10.0,119.72374436897567,122.0,2.276255631024327,True
Q2-010,U08,3137.26362687211,cruise,109.20197753149958,23.00777017570781,368.4154968261719,2.9694217643724565,True,109.50766258157675,10.0,119.50766258157675,122.0,2.492337418423247,True
Q2-010,U08,3142.26362687211,cruise,109.20270884199944,23.00778890094375,368.4154968261719,2.8946344190360622,True,109.28609927100446,10.0,119.28609927100446,122.0,2.71390072899554,True
Q2-010,U08,3147.26362687211,cruise,109.2034401524993,23.007807626179687,368.4154968261719,2.8198583897408884,True,109.05877081552478,10.0,119.05877081552478,122.0,2.941229184475219,True
Q2-010,U08,3152.26362687211,cruise,109.20417146299916,23.007826351415627,368.4154968261719,2.74509460038204,True,108.8253711448613,10.0,118.8253711448613,122.0,3.1746288551387067,True
Q2-010,U08,3157.26362687211,cruise,109.20490277349903,23.007845076651563,368.4154968261719,2.670344078161221,True,108.58556932458818,10.0,118.58556932458818,122.0,3.414430675411822,True
Q2-010,U08,3162.26362687211,cruise,109.20563408399889,23.007863801887503,368.4154968261719,2.5956079684201794,True,108.33900680936637,10.0,118.33900680936637,122.0,3.660993190633633,True
Q2-010,U08,3167.26362687211,cruise,109.20636539449875,23.00788252712344,368.4154968261719,2.520887552084003,True,108.08529430945407,10.0,118.08529430945407,122.0,3.9147056905459294,True
Q2-010,U08,3172.26362687211,cruise,109.2070967049986,23.007901252359378,368.4154968261719,2.4461842663001176,True,107.82400820404425,10.0,117.82400820404425,122.0,4.175991795955753,True
Q2-010,U08,3177.26362687211,cruise,109.20782801549846,23.007919977595314,368.4154968261719,2.3714997289477737,True,107.55468642123013,10.0,117.55468642123013,122.0,4.44531357876987,True
Q2-010,U08,3182.26362687211,cruise,109.20855932599832,23.007938702831254,368.4154968261719,2.2968357679019507,True,107.27682368768531,10.0,117.27682368768531,122.0,4.723176312314692,True
Q2-010,U08,3187.26362687211,cruise,109.20929063649818,23.00795742806719,368.4154968261719,2.2221944561590217,True,106.98986603021493,10.0,116.98986603021493,122.0,5.010133969785073,True
Q2-010,U08,3192.26362687211,cruise,109.21002194699804,23.00797615330313,368.4154968261719,2.147578154237028,True,106.69320438521754,10.0,116.69320438521754,122.0,5.306795614782459,True
Q2-010,U08,3197.26362687211,cruise,109.2107532574979,23.007994878539066,368.4154968261719,2.072989561666177,True,106.38616713928161,10.0,116.38616713928161,122.0,5.613832860718389,True
Q2-010,U08,3202.26362687211,cruise,109.21148456799776,23.008013603775005,368.4154968261719,1.998431779919601,True,106.06801138267535,10.0,116.06801138267535,122.0,5.931988617324649,True
Q2-010,U08,3207.26362687211,cruise,109.21221587849762,23.00803232901094,368.4154968261719,1.923908389853763,True,105.73791260481461,10.0,115.73791260481461,122.0,6.2620873951853895,True
Q2-010,U08,3212.26362687211,cruise,109.21294718899748,23.00805105424688,368.4154968261719,1.8494235477019483,True,105.39495249348974,10.0,115.39495249348974,122.0,6.60504750651026,True
Q2-010,U08,3217.26362687211,cruise,109.21367849949735,23.008069779482817,368.4154968261719,1.7749821049994445,True,105.0381044131623,10.0,115.0381044131623,122.0,6.961895586837699,True
